Date,AAPL,AMZN,DIS,GOOGL,INTC,JPM,META,MSFT,NFLX,NVDA,PG,TSLA,V
12/11/2025,$278.03 ,$230.28 ,$111.46 ,$312.43 ,$39.51 ,$317.38 ,$652.71 ,$483.47 ,$94.09 ,$180.93 ,$140.76 ,$446.89 ,$345.63 
12/10/2025,$278.78 ,$231.78 ,$108.83 ,$320.21 ,$40.78 ,$310.11 ,$650.13 ,$478.56 ,$92.71 ,$183.78 ,$139.82 ,$451.45 ,$325.73 
12/9/2025,$277.18 ,$227.92 ,$107.02 ,$317.08 ,$40.50 ,$300.51 ,$656.96 ,$492.02 ,$96.71 ,$184.97 ,$139.63 ,$445.17 ,$326.50 
12/8/2025,$277.89 ,$226.89 ,$107.63 ,$313.72 ,$40.30 ,$315.21 ,$666.80 ,$491.02 ,$96.79 ,$185.55 ,$138.34 ,$439.58 ,$326.84 
12/5/2025,$278.78 ,$229.53 ,$105.30 ,$321.27 ,$41.41 ,$315.04 ,$673.42 ,$483.16 ,$100.24 ,$182.41 ,$143.45 ,$455.00 ,$331.24 
12/4/2025,$280.70 ,$229.11 ,$105.47 ,$317.62 ,$40.50 ,$316.10 ,$661.53 ,$480.84 ,$103.22 ,$183.38 ,$145.36 ,$454.53 ,$327.10 
12/3/2025,$284.15 ,$232.38 ,$105.74 ,$319.63 ,$43.76 ,$312.13 ,$639.60 ,$477.73 ,$103.96 ,$179.59 ,$146.71 ,$446.74 ,$329.61 
12/2/2025,$286.19 ,$234.42 ,$104.83 ,$315.81 ,$43.47 ,$307.88 ,$647.10 ,$490.00 ,$109.35 ,$181.46 ,$145.86 ,$429.24 ,$329.62 
12/1/2025,$283.10 ,$233.88 ,$106.77 ,$314.89 ,$40.01 ,$308.92 ,$640.87 ,$486.74 ,$109.13 ,$179.92 ,$147.44 ,$430.14 ,$330.39 
11/28/2025,$278.85 ,$233.22 ,$104.47 ,$320.18 ,$40.56 ,$313.08 ,$647.95 ,$492.01 ,$107.58 ,$177.00 ,$148.16 ,$430.17 ,$334.44 
11/26/2025,$277.55 ,$229.16 ,$103.43 ,$319.95 ,$36.81 ,$307.64 ,$633.61 ,$485.50 ,$106.14 ,$180.26 ,$148.25 ,$426.58 ,$333.79 
11/25/2025,$276.97 ,$229.67 ,$103.31 ,$323.44 ,$35.83 ,$303.00 ,$636.22 ,$476.99 ,$104.40 ,$177.82 ,$148.49 ,$419.40 ,$334.53 
11/24/2025,$275.92 ,$226.28 ,$101.94 ,$318.58 ,$35.79 ,$298.00 ,$613.05 ,$474.00 ,$106.97 ,$182.55 ,$146.98 ,$417.78 ,$329.30 
11/21/2025,$271.49 ,$220.69 ,$104.28 ,$299.66 ,$34.50 ,$298.02 ,$594.25 ,$472.12 ,$104.31 ,$178.88 ,$150.92 ,$391.09 ,$327.98 
11/20/2025,$266.25 ,$217.14 ,$102.70 ,$289.45 ,$33.62 ,$298.38 ,$589.15 ,$478.43 ,$105.67 ,$180.64 ,$148.19 ,$395.23 ,$323.77 
11/19/2025,$268.56 ,$222.69 ,$104.67 ,$292.81 ,$35.11 ,$303.27 ,$590.32 ,$487.12 ,$110.00 ,$186.52 ,$146.99 ,$403.99 ,$324.12 
11/18/2025,$267.44 ,$222.55 ,$106.28 ,$284.28 ,$34.33 ,$299.41 ,$597.69 ,$493.79 ,$114.09 ,$181.36 ,$146.99 ,$401.25 ,$321.18 
11/17/2025,$267.46 ,$232.87 ,$105.69 ,$285.02 ,$34.71 ,$300.37 ,$602.01 ,$507.49 ,$110.29 ,$186.60 ,$145.82 ,$408.92 ,$325.75 
11/14/2025,$272.41 ,$234.69 ,$105.80 ,$276.41 ,$35.52 ,$303.61 ,$609.46 ,$510.18 ,$111.22 ,$190.17 ,$147.67 ,$404.35 ,$330.02 
11/13/2025,$272.95 ,$237.58 ,$107.61 ,$278.57 ,$35.91 ,$309.48 ,$609.89 ,$503.29 ,$115.42 ,$186.86 ,$147.96 ,$401.99 ,$336.08 
11/12/2025,$273.47 ,$244.20 ,$116.65 ,$286.71 ,$37.89 ,$320.41 ,$609.01 ,$511.14 ,$115.75 ,$193.80 ,$148.01 ,$430.60 ,$338.88 
11/11/2025,$275.25 ,$249.10 ,$114.85 ,$291.31 ,$37.88 ,$315.62 ,$627.08 ,$508.68 ,$113.64 ,$193.16 ,$148.54 ,$439.62 ,$338.92 
11/10/2025,$269.43 ,$248.40 ,$112.24 ,$290.10 ,$38.45 ,$316.89 ,$631.76 ,$506.00 ,$112.01 ,$199.05 ,$145.50 ,$445.23 ,$334.85 
11/7/2025,$268.47 ,$244.41 ,$110.74 ,$278.83 ,$38.13 ,$314.21 ,$621.71 ,$496.82 ,$110.37 ,$188.15 ,$146.98 ,$429.52 ,$336.02 
11/6/2025,$269.77 ,$243.04 ,$110.49 ,$284.75 ,$37.24 ,$313.42 ,$618.94 ,$497.10 ,$109.70 ,$188.08 ,$146.13 ,$445.91 ,$336.96 
11/5/2025,$270.14 ,$250.20 ,$111.36 ,$284.31 ,$38.38 ,$311.68 ,$635.95 ,$507.16 ,$109.85 ,$195.21 ,$145.79 ,$462.07 ,$340.04 
11/4/2025,$270.04 ,$249.32 ,$111.47 ,$277.54 ,$37.03 ,$309.25 ,$627.32 ,$514.33 ,$109.30 ,$198.69 ,$147.17 ,$444.26 ,$340.30 
11/3/2025,$269.05 ,$254.00 ,$112.12 ,$283.72 ,$39.50 ,$309.35 ,$637.71 ,$517.03 ,$110.01 ,$206.88 ,$148.02 ,$468.37 ,$336.90 
10/31/2025,$270.37 ,$244.22 ,$112.62 ,$281.19 ,$39.99 ,$311.12 ,$648.35 ,$517.81 ,$111.89 ,$202.49 ,$150.37 ,$456.56 ,$340.74 
10/30/2025,$271.40 ,$222.86 ,$111.84 ,$281.48 ,$40.16 ,$309.44 ,$666.47 ,$525.76 ,$108.90 ,$202.89 ,$149.58 ,$440.10 ,$345.03 
10/29/2025,$269.70 ,$230.30 ,$110.24 ,$274.57 ,$41.34 ,$305.51 ,$751.67 ,$541.55 ,$110.04 ,$207.04 ,$148.77 ,$461.51 ,$341.28 
10/28/2025,$269.00 ,$229.25 ,$111.65 ,$267.47 ,$41.53 ,$305.36 ,$751.44 ,$542.07 ,$110.25 ,$201.03 ,$151.37 ,$460.55 ,$346.90 
10/27/2025,$268.81 ,$226.97 ,$112.34 ,$269.27 ,$39.54 ,$304.15 ,$750.82 ,$531.52 ,$109.46 ,$191.49 ,$151.74 ,$452.42 ,$347.82 
10/24/2025,$262.82 ,$224.21 ,$111.68 ,$259.92 ,$38.28 ,$300.44 ,$738.36 ,$523.61 ,$109.47 ,$186.26 ,$152.49 ,$433.72 ,$347.38 
10/23/2025,$259.58 ,$221.09 ,$113.03 ,$253.08 ,$38.16 ,$294.54 ,$734.00 ,$520.56 ,$111.36 ,$182.16 ,$152.21 ,$448.98 ,$345.96 
10/22/2025,$258.45 ,$217.95 ,$113.08 ,$251.69 ,$36.92 ,$294.11 ,$733.41 ,$520.54 ,$111.64 ,$180.28 ,$152.20 ,$438.97 ,$345.36 
10/21/2025,$262.77 ,$222.03 ,$114.30 ,$250.46 ,$38.12 ,$297.09 ,$733.27 ,$517.66 ,$124.14 ,$181.16 ,$151.62 ,$442.60 ,$347.21 
10/20/2025,$262.24 ,$216.48 ,$111.96 ,$256.55 ,$38.10 ,$302.36 ,$732.17 ,$516.79 ,$123.86 ,$182.64 ,$151.96 ,$447.43 ,$344.41 
10/17/2025,$252.29 ,$213.04 ,$110.67 ,$253.30 ,$37.01 ,$297.56 ,$716.92 ,$513.58 ,$119.94 ,$183.22 ,$151.40 ,$439.31 ,$341.89 
10/16/2025,$247.45 ,$214.47 ,$109.88 ,$251.46 ,$36.84 ,$298.54 ,$712.07 ,$511.61 ,$118.36 ,$181.81 ,$149.60 ,$428.75 ,$335.40 
10/15/2025,$249.34 ,$215.57 ,$111.71 ,$251.03 ,$37.15 ,$305.69 ,$717.55 ,$513.43 ,$120.33 ,$179.83 ,$147.42 ,$435.15 ,$345.69 
10/14/2025,$247.77 ,$216.39 ,$111.17 ,$245.45 ,$35.63 ,$302.08 ,$708.65 ,$513.57 ,$121.54 ,$180.03 ,$149.16 ,$429.24 ,$348.38 
10/13/2025,$247.66 ,$220.07 ,$110.27 ,$244.15 ,$37.22 ,$307.97 ,$715.70 ,$514.05 ,$121.90 ,$188.32 ,$147.49 ,$435.90 ,$343.30 
10/10/2025,$245.27 ,$216.37 ,$109.19 ,$236.57 ,$36.37 ,$300.89 ,$705.30 ,$510.96 ,$122.01 ,$183.16 ,$149.69 ,$413.49 ,$343.65 
10/9/2025,$254.04 ,$227.74 ,$110.99 ,$241.53 ,$37.80 ,$305.53 ,$733.51 ,$522.40 ,$123.11 ,$192.57 ,$150.58 ,$435.54 ,$347.04 
10/8/2025,$258.06 ,$225.22 ,$111.89 ,$244.62 ,$37.43 ,$304.03 ,$717.84 ,$524.85 ,$121.43 ,$189.11 ,$150.69 ,$438.69 ,$351.36 
10/7/2025,$256.48 ,$221.78 ,$112.53 ,$245.76 ,$37.17 ,$307.69 ,$713.08 ,$523.98 ,$119.11 ,$185.04 ,$152.54 ,$433.09 ,$352.42 
10/6/2025,$256.69 ,$220.90 ,$112.75 ,$250.43 ,$36.59 ,$309.18 ,$715.66 ,$528.57 ,$116.33 ,$185.54 ,$150.41 ,$453.25 ,$349.28 
10/3/2025,$258.02 ,$219.51 ,$112.47 ,$245.35 ,$36.83 ,$310.03 ,$710.56 ,$517.35 ,$115.33 ,$187.62 ,$152.27 ,$429.83 ,$349.84 
10/2/2025,$257.13 ,$222.41 ,$112.14 ,$245.69 ,$37.30 ,$307.55 ,$727.05 ,$515.74 ,$116.25 ,$188.89 ,$152.05 ,$436.00 ,$345.95 
10/1/2025,$255.45 ,$220.63 ,$112.95 ,$244.90 ,$35.94 ,$310.71 ,$717.34 ,$519.71 ,$117.09 ,$187.24 ,$153.18 ,$459.46 ,$347.83 
9/30/2025,$254.63 ,$219.57 ,$114.50 ,$243.10 ,$33.55 ,$315.43 ,$734.38 ,$517.95 ,$119.89 ,$186.58 ,$153.65 ,$444.72 ,$341.38 
9/29/2025,$254.43 ,$222.17 ,$114.78 ,$244.05 ,$34.48 ,$315.69 ,$743.40 ,$514.60 ,$120.64 ,$181.85 ,$153.53 ,$443.21 ,$340.16 
9/26/2025,$255.46 ,$219.78 ,$113.47 ,$246.54 ,$35.50 ,$316.06 ,$743.75 ,$511.46 ,$121.06 ,$178.19 ,$152.50 ,$440.40 ,$337.37 
9/25/2025,$256.87 ,$218.15 ,$112.99 ,$245.79 ,$33.99 ,$313.45 ,$748.91 ,$507.03 ,$120.82 ,$177.69 ,$152.15 ,$423.39 ,$334.93 
9/24/2025,$252.31 ,$220.21 ,$113.43 ,$247.14 ,$31.22 ,$313.42 ,$760.66 ,$510.15 ,$120.40 ,$176.97 ,$152.42 ,$442.79 ,$338.68 
9/23/2025,$254.43 ,$220.71 ,$112.25 ,$251.66 ,$29.34 ,$312.74 ,$755.40 ,$509.23 ,$121.85 ,$178.43 ,$152.50 ,$425.85 ,$338.70 
9/22/2025,$256.08 ,$227.63 ,$112.56 ,$252.53 ,$28.76 ,$312.44 ,$765.16 ,$514.45 ,$122.74 ,$183.61 ,$153.07 ,$434.21 ,$344.36 
9/19/2025,$245.50 ,$231.48 ,$113.76 ,$254.72 ,$29.58 ,$314.78 ,$778.38 ,$517.93 ,$122.70 ,$176.67 ,$156.04 ,$426.07 ,$341.61 
9/18/2025,$237.88 ,$231.23 ,$114.86 ,$252.03 ,$30.57 ,$313.23 ,$780.25 ,$508.45 ,$120.78 ,$176.24 ,$157.32 ,$416.85 ,$338.18 
9/17/2025,$238.99 ,$231.62 ,$116.10 ,$249.53 ,$24.90 ,$311.75 ,$775.72 ,$510.02 ,$122.85 ,$170.29 ,$160.33 ,$425.86 ,$346.20 
9/16/2025,$238.15 ,$234.05 ,$115.23 ,$251.16 ,$25.27 ,$309.19 ,$779.00 ,$509.04 ,$120.05 ,$174.88 ,$158.05 ,$421.62 ,$340.03 
9/15/2025,$236.70 ,$231.43 ,$115.62 ,$251.61 ,$24.77 ,$308.90 ,$764.70 ,$515.36 ,$120.23 ,$177.75 ,$156.83 ,$410.04 ,$339.05 
9/12/2025,$234.07 ,$228.15 ,$115.96 ,$240.80 ,$24.08 ,$306.91 ,$755.59 ,$509.90 ,$118.84 ,$177.82 ,$157.90 ,$395.94 ,$339.43 
9/11/2025,$230.03 ,$229.95 ,$117.08 ,$240.37 ,$24.61 ,$305.56 ,$750.90 ,$501.01 ,$120.35 ,$177.17 ,$158.63 ,$368.81 ,$343.49 
9/10/2025,$226.79 ,$230.33 ,$115.79 ,$239.17 ,$24.77 ,$300.54 ,$751.98 ,$500.37 ,$124.77 ,$177.33 ,$157.35 ,$347.79 ,$338.12 
9/9/2025,$234.35 ,$238.24 ,$117.37 ,$239.63 ,$24.44 ,$297.85 ,$765.70 ,$498.41 ,$126.33 ,$170.76 ,$159.46 ,$346.97 ,$343.99 
9/8/2025,$237.88 ,$235.84 ,$118.84 ,$234.04 ,$24.48 ,$292.91 ,$752.30 ,$498.20 ,$124.48 ,$168.31 ,$159.01 ,$346.40 ,$342.30 
9/5/2025,$239.69 ,$232.33 ,$117.91 ,$235.00 ,$24.49 ,$294.38 ,$752.45 ,$495.00 ,$124.38 ,$167.02 ,$160.02 ,$350.84 ,$343.22 
9/4/2025,$239.78 ,$235.68 ,$118.81 ,$232.30 ,$24.61 ,$303.82 ,$748.65 ,$507.97 ,$125.75 ,$171.66 ,$159.19 ,$338.53 ,$350.99 
9/3/2025,$238.47 ,$225.99 ,$117.38 ,$230.66 ,$24.00 ,$299.51 ,$737.05 ,$505.35 ,$122.62 ,$170.62 ,$158.17 ,$334.09 ,$350.87 
9/2/2025,$229.72 ,$225.34 ,$118.27 ,$211.35 ,$24.21 ,$299.70 ,$735.11 ,$505.12 ,$121.41 ,$170.78 ,$157.99 ,$329.36 ,$350.07 
8/29/2025,$232.14 ,$229.00 ,$118.38 ,$212.91 ,$24.35 ,$301.42 ,$738.70 ,$506.69 ,$120.83 ,$174.18 ,$157.04 ,$333.87 ,$351.78 
8/28/2025,$232.56 ,$231.60 ,$117.64 ,$211.64 ,$24.93 ,$301.07 ,$751.11 ,$509.64 ,$123.15 ,$180.17 ,$155.65 ,$345.98 ,$349.86 
8/27/2025,$230.49 ,$229.12 ,$118.09 ,$207.48 ,$24.85 ,$299.28 ,$747.38 ,$506.74 ,$122.35 ,$181.60 ,$156.96 ,$349.60 ,$350.35 
8/26/2025,$229.31 ,$228.71 ,$117.65 ,$207.14 ,$24.35 ,$298.57 ,$754.10 ,$502.04 ,$122.61 ,$181.77 ,$155.97 ,$351.67 ,$351.18 
8/25/2025,$227.16 ,$227.94 ,$117.71 ,$208.49 ,$24.55 ,$294.90 ,$753.30 ,$504.26 ,$121.81 ,$179.81 ,$156.15 ,$346.60 ,$348.82 
8/22/2025,$227.76 ,$228.84 ,$118.86 ,$206.09 ,$24.80 ,$296.24 ,$754.79 ,$507.23 ,$120.47 ,$177.99 ,$158.67 ,$340.01 ,$350.04 
8/21/2025,$224.90 ,$221.95 ,$116.21 ,$199.75 ,$23.50 ,$291.47 ,$739.10 ,$504.24 ,$120.62 ,$174.98 ,$158.73 ,$320.11 ,$343.69 
8/20/2025,$226.01 ,$223.81 ,$117.04 ,$199.32 ,$23.54 ,$292.24 ,$747.72 ,$505.72 ,$121.39 ,$175.40 ,$159.51 ,$323.90 ,$343.93 
8/19/2025,$230.56 ,$228.01 ,$116.27 ,$201.57 ,$25.31 ,$290.66 ,$751.48 ,$509.77 ,$121.42 ,$175.64 ,$158.40 ,$329.31 ,$342.45 
8/18/2025,$230.89 ,$231.49 ,$116.55 ,$203.50 ,$23.66 ,$291.53 ,$767.37 ,$517.10 ,$124.51 ,$182.01 ,$155.72 ,$335.16 ,$342.74 
8/15/2025,$231.59 ,$231.03 ,$115.39 ,$203.90 ,$24.56 ,$290.49 ,$785.23 ,$520.17 ,$123.90 ,$180.45 ,$154.36 ,$330.56 ,$344.47 
8/14/2025,$232.78 ,$230.98 ,$116.31 ,$202.94 ,$23.86 ,$294.16 ,$782.13 ,$522.48 ,$123.06 ,$182.02 ,$153.74 ,$335.58 ,$345.49 
8/13/2025,$233.33 ,$224.56 ,$116.64 ,$201.96 ,$22.22 ,$290.53 ,$780.08 ,$520.58 ,$120.44 ,$181.59 ,$155.41 ,$339.38 ,$342.55 
8/12/2025,$229.65 ,$221.47 ,$113.72 ,$203.34 ,$21.81 ,$292.85 ,$790.00 ,$529.24 ,$122.53 ,$183.16 ,$155.09 ,$340.84 ,$336.74 
8/11/2025,$227.18 ,$221.30 ,$112.55 ,$201.00 ,$20.65 ,$289.56 ,$765.87 ,$521.77 ,$121.83 ,$182.06 ,$154.98 ,$339.03 ,$335.90 
8/8/2025,$229.35 ,$222.69 ,$112.43 ,$201.42 ,$19.95 ,$288.76 ,$769.30 ,$522.04 ,$121.16 ,$182.70 ,$153.51 ,$329.65 ,$336.78 
8/7/2025,$220.03 ,$223.13 ,$112.88 ,$196.52 ,$19.77 ,$286.94 ,$761.83 ,$520.84 ,$118.04 ,$180.77 ,$153.49 ,$322.27 ,$332.09 
8/6/2025,$213.25 ,$222.31 ,$115.17 ,$196.09 ,$20.41 ,$291.35 ,$771.99 ,$524.94 ,$117.85 ,$179.42 ,$152.86 ,$319.91 ,$339.74 
8/5/2025,$202.92 ,$213.75 ,$118.32 ,$194.67 ,$20.19 ,$291.37 ,$763.46 ,$527.75 ,$114.79 ,$178.26 ,$150.51 ,$308.72 ,$337.43 
8/4/2025,$203.35 ,$211.65 ,$119.35 ,$195.04 ,$19.50 ,$294.26 ,$776.37 ,$535.64 ,$117.10 ,$180.00 ,$150.76 ,$309.26 ,$342.15 
8/1/2025,$202.38 ,$214.75 ,$116.59 ,$189.13 ,$19.31 ,$289.37 ,$750.01 ,$524.11 ,$115.86 ,$173.72 ,$150.65 ,$302.63 ,$339.35 
7/31/2025,$207.57 ,$234.11 ,$119.11 ,$191.90 ,$19.80 ,$296.24 ,$773.44 ,$533.50 ,$115.94 ,$177.87 ,$150.47 ,$308.27 ,$345.47 
7/30/2025,$209.05 ,$230.19 ,$119.54 ,$196.53 ,$20.34 ,$299.63 ,$695.21 ,$513.24 ,$118.42 ,$179.27 ,$152.88 ,$319.04 ,$350.91 
7/29/2025,$211.27 ,$231.01 ,$119.91 ,$195.75 ,$20.41 ,$297.04 ,$700.00 ,$512.57 ,$116.87 ,$175.51 ,$156.61 ,$321.20 ,$351.29 
7/28/2025,$214.05 ,$232.79 ,$120.37 ,$192.58 ,$20.68 ,$298.28 ,$717.63 ,$512.50 ,$117.46 ,$176.75 ,$157.11 ,$325.59 ,$355.47 
7/25/2025,$213.88 ,$231.44 ,$121.47 ,$193.18 ,$20.70 ,$298.62 ,$712.68 ,$513.71 ,$118.05 ,$173.50 ,$158.30 ,$316.06 ,$357.04 
7/24/2025,$213.76 ,$232.23 ,$121.95 ,$192.17 ,$22.63 ,$296.55 ,$714.80 ,$510.88 ,$118.08 ,$173.74 ,$158.81 ,$305.30 ,$353.97 
7/23/2025,$214.15 ,$228.29 ,$122.94 ,$190.23 ,$23.49 ,$296.76 ,$713.58 ,$505.87 ,$117.68 ,$170.78 ,$158.28 ,$332.56 ,$355.29 
7/22/2025,$214.40 ,$227.47 ,$121.06 ,$191.34 ,$23.24 ,$291.43 ,$704.81 ,$505.27 ,$119.01 ,$167.03 ,$158.32 ,$332.11 ,$351.86 
7/21/2025,$212.48 ,$229.30 ,$120.84 ,$190.10 ,$23.26 ,$290.97 ,$712.97 ,$510.06 ,$123.33 ,$171.38 ,$155.03 ,$328.49 ,$350.94 
7/18/2025,$211.18 ,$226.13 ,$121.42 ,$185.06 ,$23.10 ,$291.27 ,$704.28 ,$510.05 ,$120.92 ,$172.41 ,$155.10 ,$329.65 ,$349.05 
7/17/2025,$210.02 ,$223.88 ,$122.21 ,$183.58 ,$22.80 ,$289.90 ,$701.41 ,$511.70 ,$127.42 ,$173.00 ,$155.62 ,$319.41 ,$349.81 
7/16/2025,$210.16 ,$223.19 ,$119.82 ,$182.97 ,$22.69 ,$285.82 ,$702.91 ,$505.62 ,$125.03 ,$171.37 ,$153.73 ,$321.67 ,$349.90 
7/15/2025,$209.11 ,$226.35 ,$118.98 ,$182.00 ,$22.92 ,$286.55 ,$710.39 ,$505.82 ,$126.03 ,$170.70 ,$152.68 ,$310.78 ,$347.02 
7/14/2025,$208.62 ,$225.69 ,$119.97 ,$181.56 ,$23.30 ,$288.70 ,$720.92 ,$503.02 ,$126.20 ,$164.07 ,$153.76 ,$316.90 ,$350.50 
7/11/2025,$211.16 ,$225.02 ,$119.87 ,$180.19 ,$23.43 ,$286.86 ,$717.51 ,$503.32 ,$124.51 ,$164.92 ,$157.05 ,$313.51 ,$347.93 
7/10/2025,$212.41 ,$222.26 ,$121.56 ,$177.62 ,$23.82 ,$288.19 ,$727.24 ,$501.48 ,$125.06 ,$164.10 ,$158.49 ,$309.87 ,$355.88 
7/9/2025,$211.14 ,$222.54 ,$120.61 ,$176.62 ,$23.44 ,$283.16 ,$732.78 ,$503.51 ,$128.83 ,$162.88 ,$157.52 ,$295.88 ,$357.76 
7/8/2025,$210.01 ,$219.36 ,$121.82 ,$174.36 ,$23.59 ,$282.78 ,$720.67 ,$496.62 ,$127.53 ,$160.00 ,$157.89 ,$297.81 ,$354.55 
7/7/2025,$209.95 ,$223.47 ,$123.16 ,$176.79 ,$22.00 ,$291.97 ,$718.35 ,$497.72 ,$128.96 ,$158.24 ,$160.50 ,$293.94 ,$356.64 
7/3/2025,$213.55 ,$223.41 ,$124.00 ,$179.53 ,$22.49 ,$296.00 ,$719.01 ,$498.84 ,$129.72 ,$159.34 ,$160.83 ,$315.35 ,$358.86 
7/2/2025,$212.44 ,$219.92 ,$122.98 ,$178.64 ,$21.88 ,$292.00 ,$713.57 ,$491.09 ,$128.49 ,$157.25 ,$161.20 ,$315.65 ,$354.22 
7/1/2025,$207.82 ,$220.46 ,$123.49 ,$175.84 ,$22.85 ,$290.41 ,$719.22 ,$492.05 ,$129.36 ,$153.30 ,$161.22 ,$300.71 ,$355.47 
6/30/2025,$205.17 ,$219.39 ,$124.01 ,$176.23 ,$22.40 ,$289.91 ,$738.09 ,$497.41 ,$133.91 ,$157.99 ,$159.32 ,$317.66 ,$355.05 
6/27/2025,$201.08 ,$223.30 ,$122.34 ,$178.53 ,$22.69 ,$287.11 ,$733.63 ,$495.94 ,$132.31 ,$157.75 ,$159.86 ,$323.63 ,$348.61 
6/26/2025,$201.00 ,$217.12 ,$121.46 ,$173.54 ,$22.50 ,$288.75 ,$726.09 ,$497.45 ,$130.67 ,$155.02 ,$158.63 ,$325.78 ,$346.03 
6/25/2025,$201.56 ,$211.99 ,$119.42 ,$170.68 ,$22.20 ,$284.06 ,$708.68 ,$492.27 ,$127.53 ,$154.31 ,$158.97 ,$327.55 ,$345.26 
6/24/2025,$200.30 ,$212.77 ,$118.65 ,$166.77 ,$22.55 ,$281.26 ,$712.20 ,$490.11 ,$127.91 ,$147.90 ,$160.36 ,$340.47 ,$351.63 
6/23/2025,$201.50 ,$208.47 ,$117.75 ,$165.19 ,$21.19 ,$278.27 ,$698.53 ,$486.00 ,$125.35 ,$144.17 ,$161.03 ,$348.68 ,$343.75 
6/20/2025,$201.00 ,$209.69 ,$117.63 ,$166.64 ,$21.08 ,$275.00 ,$682.35 ,$477.40 ,$123.14 ,$143.85 ,$159.08 ,$322.16 ,$338.57 
6/18/2025,$196.58 ,$212.52 ,$117.86 ,$173.32 ,$21.49 ,$273.96 ,$695.77 ,$480.24 ,$122.23 ,$145.48 ,$158.02 ,$322.05 ,$340.38 
6/17/2025,$195.64 ,$214.82 ,$118.13 ,$175.95 ,$20.80 ,$269.52 ,$697.23 ,$478.04 ,$122.07 ,$144.12 ,$158.52 ,$316.35 ,$357.84 
6/16/2025,$198.42 ,$216.10 ,$119.48 ,$176.77 ,$20.74 ,$270.36 ,$702.12 ,$479.14 ,$122.54 ,$144.69 ,$160.88 ,$329.13 ,$355.48 
6/13/2025,$196.45 ,$212.10 ,$117.94 ,$174.67 ,$20.14 ,$264.95 ,$682.87 ,$474.96 ,$121.22 ,$141.97 ,$160.28 ,$325.31 ,$352.85 
6/12/2025,$199.20 ,$213.24 ,$118.61 ,$175.70 ,$20.77 ,$268.24 ,$693.36 ,$478.87 ,$121.50 ,$145.00 ,$163.18 ,$319.11 ,$371.40 
6/11/2025,$198.78 ,$213.20 ,$119.52 ,$177.35 ,$20.68 ,$268.15 ,$694.14 ,$472.62 ,$121.99 ,$142.83 ,$162.11 ,$326.43 ,$373.31 
6/10/2025,$202.67 ,$217.61 ,$118.73 ,$178.60 ,$22.08 ,$268.60 ,$702.40 ,$470.92 ,$120.36 ,$143.96 ,$162.84 ,$326.09 ,$370.70 
6/9/2025,$201.45 ,$216.98 ,$115.66 ,$176.09 ,$20.48 ,$266.74 ,$694.06 ,$472.75 ,$122.45 ,$142.63 ,$162.56 ,$308.58 ,$366.66 
6/6/2025,$203.92 ,$213.57 ,$113.90 ,$173.68 ,$20.06 ,$265.73 ,$697.71 ,$470.38 ,$124.15 ,$141.72 ,$164.02 ,$295.14 ,$370.22 
6/5/2025,$200.63 ,$207.91 ,$112.53 ,$168.21 ,$19.99 ,$261.95 ,$684.62 ,$467.68 ,$125.05 ,$139.99 ,$162.80 ,$284.70 ,$366.77 
6/4/2025,$202.82 ,$207.23 ,$113.49 ,$168.05 ,$20.25 ,$264.22 ,$687.95 ,$463.87 ,$123.97 ,$141.92 ,$165.95 ,$332.05 ,$368.00 
6/3/2025,$203.27 ,$205.71 ,$113.60 ,$166.18 ,$20.29 ,$266.27 ,$666.85 ,$462.97 ,$121.79 ,$141.22 ,$166.85 ,$344.27 ,$365.86 
6/2/2025,$201.70 ,$206.65 ,$112.95 ,$169.03 ,$19.74 ,$264.66 ,$670.90 ,$461.97 ,$121.90 ,$137.38 ,$167.78 ,$342.69 ,$365.32 
5/30/2025,$200.85 ,$205.01 ,$113.04 ,$171.74 ,$19.55 ,$264.00 ,$647.49 ,$460.36 ,$120.72 ,$135.13 ,$169.89 ,$346.46 ,$365.19 
5/29/2025,$199.95 ,$205.70 ,$112.02 ,$171.86 ,$20.25 ,$264.37 ,$645.05 ,$458.68 ,$118.49 ,$139.19 ,$168.56 ,$358.43 ,$362.40 
5/28/2025,$200.42 ,$204.72 ,$111.52 ,$172.36 ,$20.37 ,$263.49 ,$643.58 ,$457.36 ,$120.86 ,$134.81 ,$167.36 ,$356.90 ,$359.73 
5/27/2025,$200.21 ,$206.02 ,$112.36 ,$172.90 ,$20.55 ,$265.29 ,$642.32 ,$460.69 ,$121.16 ,$135.50 ,$167.76 ,$362.89 ,$359.30 
5/23/2025,$195.27 ,$200.99 ,$109.72 ,$168.47 ,$20.05 ,$260.71 ,$627.06 ,$450.18 ,$118.54 ,$131.29 ,$165.86 ,$339.34 ,$353.54 
5/22/2025,$201.36 ,$203.10 ,$111.13 ,$170.87 ,$20.55 ,$260.67 ,$636.57 ,$454.86 ,$118.80 ,$132.83 ,$165.03 ,$341.04 ,$357.97 
5/21/2025,$202.09 ,$201.12 ,$110.46 ,$168.56 ,$20.69 ,$261.04 ,$635.50 ,$452.57 ,$119.46 ,$131.80 ,$165.43 ,$334.62 ,$358.30 
5/20/2025,$206.86 ,$204.07 ,$112.36 ,$163.98 ,$21.27 ,$265.68 ,$637.10 ,$458.17 ,$119.20 ,$134.38 ,$165.64 ,$343.82 ,$366.84 
